proprietor,Address,Column3,city,city 1,city 2,Column 7,,,Address,city,State 1,Latitude,Longitude,Unit Number,Country
props, 119 to 125 N. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. Underwear for ladies and,,,119 to 125 N. Spring St..,Los Angeles, CA,33.919198,-118.253,,US
Spear's Dept Store, 125 Vine st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles Spear's Department Store",,,125 Vine St.,Los Angeles, CA,34.096617,-118.326499,,US
taken in exchange, 131 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Los Angeles, Tel. Green 1882",,,131 S. Broadway,Los Angeles, CA,34.053349,-118.245931,,US
taken in exchange, 131 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Los Angeles, Tel. Green 1882",,,131 S. Broadway,Los Angeles, CA,34.053349,-118.245931,,US
and wood, 131 San Pedro st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles Ladies' and Gentlemen's",,,131 San Pedro St.,Los Angeles, CA,34.04979,-118.24166,,US
store at, 135 E. Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. He also deals in new,,,135 E. Second St.,Los Angeles, CA,34.050565,-118.243584,,US
R. Hertel, 136 E. Colorado st,st,"Pasadena, Cal.",Pasadena, Cal.,"., Pasadena Third door from Fair",,,136 E. Colorado St.,Pasadena, CA,34.145607,-117.999429,,US
Nicoll the tailor, 142 S. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St., Los Angeles, Cal. Special",,,142 S. Spring St.,Los Angeles, CA,34.052317,-118.244745,,US
the tailor, 142 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles, Cal. Special prices",,,142 S. Spring St.,Los Angeles, CA,34.052317,-118.244745,,US
Nicoll the tailor, 142 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St., Los Angeles, Cal. Special",,,142 S. Spring St..,Los Angeles, CA,34.052317,-118.244745,,US
"Shoe Shining Parlor, W.H. Washiington", 146 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. W.H. Washington, prop office",,,146 S. Spring St..,Los Angeles, CA,34.052267,-118.244784,,US
Shoe Shining Parlor, 146 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. W.H. Washington, prop office",,,146 S. Spring St..,Los Angeles, CA,34.052267,-118.244784,,US
Shining Parlor, 146 S. Spring St.,st,"Los Angeles, Cal.",Los Angeles, Cal.,". W.H. Washington, prop office hours",,,146 S. Spring St..,Los Angeles, CA,34.052267,-118.244784,,US
and, 157 Wilson block Cor. Spring St and First,Cor. Spring,"Los Angeles, Cal.",Los Angeles, Cal.,and First streets. He is,,,157 Wilson block Cor. Spring St. and FirSt.,Los Angeles, CA,34.026312,-118.234975,,US
and, 157 Wilson block Spring and First Streets,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,and First streets. He is,,,157 Wilson block Spring and FirSt. St.reets,Los Angeles, CA,34.026312,-118.234975,,US
Store, 162-164 N. Main st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. There you receive the best,,,162-164 N. Main St.,Los Angeles, CA,34.052713,-118.242807,,US
, 171 AND 173 N. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. 12 The Liberator Terms are,,,171 AND 173 N. Spring St.,Los Angeles, CA,34.05471,-118.483482,,US
is, 171 AND 173 N. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. 12 The Liberator Terms,,,171 AND 173 N. Spring St..,Los Angeles, CA,34.05471,-118.483482,,US
Store, 171 AND 173 N. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Joseph's for cash or on,,,171 AND 173 N. Spring St..,Los Angeles, CA,34.05471,-118.483482,,US
is, 171 AND 173 N. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. 12 The Liberator Terms,,,171 AND 173 N. Spring St..,Los Angeles, CA,34.05471,-118.483482,,US
Store, 171 AND 173 N. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Joseph's for cash or on,,,171 AND 173 N. Spring St..,Los Angeles, CA,34.05471,-118.483482,,US
in connection bakery, 177 N. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St., Los Angeles, Subscribe for",,,177 N. Spring St.,Los Angeles, CA,34.053782,-118.243993,,US
in connection bakery, 177 N. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St., Los Angeles, Subscribe for",,,177 N. Spring St.,Los Angeles, CA,34.053782,-118.243993,,US
connection bakery, 177 N. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles, Subscribe for The",,,177 N. Spring St.,Los Angeles, CA,34.053782,-118.243993,,US
weekly papers, 18 W. Colorado st,st,"Pasadena, Cal.",Pasadena, Cal.,"., Pasadena. The Bon Accord Can",,,18 W. Colorado St.,Pasadena, CA,34.14552,-118.150865,,US
Waalf & Chilson's drug store, 202 1/2 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,over Wolf &amp; Chilson's drug store,,,202 1/2 S. Broadway,Los Angeles, CA,34.052145,-118.246685,,US
Wolf & Chilson's Drug store, 202 1/2 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,over Wolf &amp; Chilson's drug store,,,202 1/2 S. Broadway,Los Angeles, CA,34.052145,-118.246685,,US
a call, 215 E. Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. The Jarvis Photo Studio opposite,,,215 E. Second St.,Los Angeles, CA,34.050245,-118.243023,,US
S. P. Creasinger, 218 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Rooms 207-214 Los Angeles,,,218 S. Broadway,Los Angeles, CA,34.05204,-118.246762,,US
S. P. Creasinger, 218 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Rooms 207-214 Los Angeles,,,218 S. Broadway,Los Angeles, CA,34.05204,-118.246762,,US
forget F.B. Silverwood, 221 S. Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. For hats of every,,,221 S. Spring St.,Los Angeles, CA,34.051502,-118.245951,,US
forget F.B. Silverwood, 221 S. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. For hats of every,,,221 S. Spring St.,Los Angeles, CA,34.051502,-118.245951,,US
F.B. Silverwood, 221 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. For hats of every style,,,221 S. Spring St.,Los Angeles, CA,34.051502,-118.245951,,US
of notions, 224-226 S. Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. Los Angeles, Cal. Today's",,,224-226 S. Spring St.,Los Angeles, CA,34.05126,-118.245759,,US
of notions, 224-226 S. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. Los Angeles, Cal. Today's",,,224-226 S. Spring St.,Los Angeles, CA,34.05126,-118.245759,,US
notions, 224-226 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,". Los Angeles, Cal. Today's business",,,224-226 S. Spring St.,Los Angeles, CA,34.05126,-118.245759,,US
T.B. Walker employment agency, 226 228 W. First st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. T. B. Walker employment agency,,,226 228 W. FirSt. St.,Los Angeles, CA,34.05323,-118.24525,,US
store at, 229 E. Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. He has a full line,,,229 E. Second St.,Los Angeles, CA,34.050123,-118.242817,,US
Store, 232 W Second St. ,,"Los Angeles, Cal.",Los Angeles, Cal.,", and 232 W. Second St",,,232 W Second St..,Los Angeles, CA,34.05206,-118.2465,,US
Broadway and, 232 W. Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles, Cal. Messages may",,,232 W. Second St.,Los Angeles, CA,34.05206,-118.2465,,US
Bartlett Music Co., 233 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", opposite City Hall. 2 The",,,233 S. Broadway,Los Angeles, CA,34.05185,-118.24745,,US
Bartlett Music Co., 233 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", opposite City Hall. 2 The",,,233 S. Broadway,Los Angeles, CA,34.05185,-118.24745,,US
a call, 239 E. Second,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles, Cal. Ladies' silk",,,239 E. Second,Los Angeles, CA,34.050029,-118.242687,,US
Grocery Store, 239 E. Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,.; price 10 cents. Ladies' fur,,,239 E. Second St.,Los Angeles, CA,34.050029,-118.242687,,US
Spears, 240 S. Spring,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. Tel. Red 3051. Spear's,,,240 S. Spring,Los Angeles, CA,33.973951,-118.248405,,US
money back Burns, 240 S. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. Tel. Red 3051. Spear's,,,240 S. Spring St.,Los Angeles, CA,34.051025,-118.24594,,US
back Burns, 240 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. Red 3051. Spear's department,,,240 S. Spring St.,Los Angeles, CA,34.051025,-118.24594,,US
2141 Office, 242 E. Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles Ward &amp; Bailey prescription",,,242 E. Second St.,Los Angeles, CA,34.049442,-118.242148,,US
, 252 1/2 S. Main st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles, Cal. The Pasadena",,,252 1/2 S. Main St.,Los Angeles, CA,34.049815,-118.24539,,US
Store, 29 and 31 N. Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,Avenue deals strictly in first,,,29 and 31 N. Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
Store, 29 and 31 N. Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,Avenue deals strictly in first,,,29 and 31 N. Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
and, 31 N. Fair Oaks avenue,avenue,"Pasadena, Cal.",Pasadena, Cal.,deals strictly in first-class,,,31 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,,US
and, 31 N. Fair Oaks avenue,avenue,"Pasadena, Cal.",Pasadena, Cal.,deals strictly in first-class,,,31 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,,US
Packard Standard Schiller, 313 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,"Los Angeles, Cal. finest line",,,313 S. Broadway,Los Angeles, CA,34.05077,-118.24845,,US
Packard Standard Schiller, 313 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,"Los Angeles, Cal. finest line",,,313 S. Broadway,Los Angeles, CA,34.05077,-118.24845,,US
Tel. Red 1162, 33 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave. Pasadena We rent, repair",,,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,,US
"Geo H. Boutelle, Pasadena Tea", 33 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave., Pasadena, Cal. Pasadena Tea",,,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,,US
Tel. Red 1162, 33 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave. Pasadena We rent, repair",,,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,,US
Geo H. Boutelle, 33 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave., Pasadena, Cal. Pasadena Tea",,,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,,US
post office, 33 W. Colorado st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Pasadena Charles Grimes oyster and",,,33 W. Colorado St.,Los Angeles, CA,34.145618,-118.151193,,US
Salyer's Piano House, 353 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,"Los Angeles, Cal. Crown, Baumeister",,,353 S. Broadway,Los Angeles, CA,34.04988,-118.24927,,US
Salyer's Piano House, 353 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,"Los Angeles, Cal. Crown, Baumeister",,,353 S. Broadway,Los Angeles, CA,34.04988,-118.24927,,US
Pasadena Tea Co., 36 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave Pasadena, Cal. a strictly",,,36 N. Fair Oaks Avenue,Pasadena, CA,34.199996,-118.145623,,US
Pasadena Tea Co., 36 N. Fair Oaks. Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave Pasadena, Cal. a strictly",,,36 N. Fair Oaks. Avenue,Pasadena, CA,34.199996,-118.145623,,US
Shoes, 37 N. Fair Oaks avenue,avenue,"Pasadena, Cal.",Pasadena, Cal.,", Pasadena, Cal. Josephs for cash",,,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,,US
Blackstone Fine Shoes, 37 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Avenue, Pasadena, Cal. Josephs for",,,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,,US
Shoes, 37 N. Fair Oaks avenue,avenue,"Pasadena, Cal.",Pasadena, Cal.,", Pasadena, Cal. Josephs for cash",,,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,,US
Blackstone Fine Shoes, 37 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Avenue, Pasadena, Cal. Josephs for",,,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,,US
Tel. Red 611, 41 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave., Pasadena We want your",,,41 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,,US
Tel. Red 611, 41 N. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave., Pasadena We want your",,,41 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,,US
at Joseph's, 426-428 S. Cor. Spring,Cor. Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. The Afro,,,426-428 S. Cor. Spring,Los Angeles, CA,33.973951,-118.248405,,US
and carpets, 426-428 S. Spring,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 The Broadway,,,426-428 S. Spring,Los Angeles, CA,33.973951,-118.248405,,US
Joseph's, 426-428 S. Spring,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. The Liberator,,,426-428 S. Spring,Los Angeles, CA,33.973951,-118.248405,,US
and carpets, 426-428 S. Spring,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Phenomenal progress,,,426-428 S. Spring,Los Angeles, CA,33.973951,-118.248405,,US
7 Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. A penny,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
on time, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. 8 The,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
household goods, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Emancipation Proclamation,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
and carpets, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. After Ben,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
on time, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Fiends at,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Dr. Melvin,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Different ways,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
goods cheap, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Mr. C.G,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
goods cheap, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Wesley Chapel,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
cheap. Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. The writings of Mark Twain,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
goods cheap, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Patronize our,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
and carpets, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. State Normal,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
and carpets, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 The Broadway,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. The Liberator,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
and carpets, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Phenomenal progress,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. The Afro,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
7 Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. A penny,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
on time, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. 8 The,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
household goods, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Emancipation Proclamation,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
and carpets, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. After Ben,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
on time, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Fiends at,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Dr. Melvin,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Different ways,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
goods cheap, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Mr. C.G,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
goods cheap, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Wesley Chapel,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
cheap. Joseph's, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. The writings of Mark Twain,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
goods cheap, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. Patronize our,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
and carpets, 426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345. State Normal,,,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,,US
Boston Cash Dry Good House, 43 and 45 N. Fair Oaks,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,Avenue. Boston Cash Dry Goods,,,43 and 45 N. Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
dealing;, 43 and 45 N. Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,Avenue. Boston Cash Dry Goods,,,43 and 45 N. Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
House, 43 and 45 N.Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave. under City Hall, Pasadena",,,43 and 45 N.Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
assistant parlors, 43 W. Colorado st,st,"Pasadena, Cal.",Pasadena, Cal.,"., Pasadena S.M. Munson Ceo. H",,,43 W. Colorado St.,Pasadena, CA,34.146204,-118.151025,,US
Le Sage Bros., 433 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Bet. 4th and 5th Have,,,433 S. Broadway,Los Angeles, CA,34.049142,-118.249841,,US
Le Sage Bros., 433 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Bet. 4th and 5th Have,,,433 S. Broadway,Los Angeles, CA,34.049142,-118.249841,,US
Co. Department Store, 437 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,are closing out their entire,,,437 S. Broadway,Los Angeles, CA,34.04875,-118.25034,,US
Co. Department Store, 437 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,are closing out their entire,,,437 S. Broadway,Los Angeles, CA,34.04875,-118.25034,,US
Boston Cash Dry Good House, 45 N. Fair Oaks avenue,avenue,"Pasadena, Cal.",Pasadena, Cal.,. Boston Cash Dry Goods House,,,45 N. Fair Oaks Avenue,Pasadena, CA,34.146692,-118.150618,,US
and, 45 N. Fair Oaks avenue,avenue,"Pasadena, Cal.",Pasadena, Cal.,. Boston Cash Dry Goods House,,,45 N. Fair Oaks Avenue,Pasadena, CA,34.146692,-118.150618,,US
Cal. Business office, 620 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Los Angeles, Cal. Tel. Green",,,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,,US
The Liberator, 620 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Tel. Green 1882. Los Angeles",,,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,,US
Cal. Business office, 620 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Los Angeles, Cal. Tel. Green",,,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,,US
Address The Liberator, 620 S. broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Tel. Green 1882. Los Angeles",,,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,,US
